deepcsv;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.982472) : (0.996451)) : (x<50 ? 1.0098:1.0015)) : (x<100 ? (x<80 ? (x<70 ? 1.00063:1.00399) : (1.00165)) : (x<120 ? 0.997193:1.01909))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.06408:1.05938) : (1.07982)) : (x<400 ? 1.12719:1.17604)) : (x<800 ? (x<670 ? 1.19426:1.30686) : (x<1000 ? 1.27415:0)))" 
1, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.36964) : (1.51252)) : (x<50 ? 1.62516:1.71872)) : (x<100 ? (x<80 ? (x<70 ? 1.76628:1.85067) : (1.93004)) : (x<120 ? 1.93266:2.21609))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.67003:2.98027) : (3.51124)) : (x<400 ? 3.96716:4.92257)) : (x<800 ? (x<670 ? 4.51392:5.94325) : (x<1000 ? 10.3534:0)))" 
1, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.931192) : (0.942192)) : (x<50 ? 0.945536:0.945371)) : (x<100 ? (x<80 ? (x<70 ? 0.9456:0.945492) : (0.944546)) : (x<120 ? 0.941893:0.943973))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.946804:0.942057) : (0.944964)) : (x<400 ? 0.949222:0.952321)) : (x<800 ? (x<670 ? 0.929003:0.920993) : (x<1000 ? 0.902932:0)))" 
1, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.978795) : (0.992476)) : (x<50 ? 1.00535:0.996631)) : (x<100 ? (x<80 ? (x<70 ? 0.995231:0.997965) : (0.996639)) : (x<120 ? 0.990975:1.01294))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.05484:1.04455) : (1.05837)) : (x<400 ? 1.0978:1.13822)) : (x<800 ? (x<670 ? 1.14354:1.17547) : (x<1000 ? 1.09245:0)))" 
1, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.36208) : (1.50205)) : (x<50 ? 1.6109:1.70026)) : (x<100 ? (x<80 ? (x<70 ? 1.7442:1.82377) : (1.90577)) : (x<120 ? 1.90204:2.18103))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.60898:2.87313) : (3.33879)) : (x<400 ? 3.72317:4.51413)) : (x<800 ? (x<670 ? 4.07406:4.61162) : (x<1000 ? 6.37562:0)))" 
1, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.93404) : (0.944768)) : (x<50 ? 0.948046:0.947917)) : (x<100 ? (x<80 ? (x<70 ? 0.94826:0.948336) : (0.946841)) : (x<120 ? 0.944716:0.946747))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.950971:0.949148) : (0.955702)) : (x<400 ? 0.964894:0.976055)) : (x<800 ? (x<670 ? 0.959955:0.98156) : (x<1000 ? 0.982125:0)))" 
1, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.98615) : (1.00043)) : (x<50 ? 1.01424:1.00637)) : (x<100 ? (x<80 ? (x<70 ? 1.00602:1.01002) : (1.00666)) : (x<120 ? 1.00341:1.02524))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.07332:1.07422) : (1.10126)) : (x<400 ? 1.15658:1.21387)) : (x<800 ? (x<670 ? 1.24498:1.43824) : (x<1000 ? 1.45585:0)))" 
1, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.3772) : (1.52299)) : (x<50 ? 1.63943:1.73718)) : (x<100 ? (x<80 ? (x<70 ? 1.78836:1.87756) : (1.95431)) : (x<120 ? 1.96329:2.25115))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.73109:3.0874) : (3.68369)) : (x<400 ? 4.21116:5.33102)) : (x<800 ? (x<670 ? 4.95379:7.27488) : (x<1000 ? 14.3312:0)))" 
2, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.871712) : (0.89089)) : (x<50 ? 0.897022:0.897746)) : (x<100 ? (x<80 ? (x<70 ? 0.89725:0.895239) : (0.893356)) : (x<120 ? 0.887447:0.885402))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.884062:0.873812) : (0.864795)) : (x<400 ? 0.87005:0.865939)) : (x<800 ? (x<670 ? 0.83069:0.831237) : (x<1000 ? 0.824306:0)))" 
2, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.95042) : (0.973227)) : (x<50 ? 0.994371:0.968815)) : (x<100 ? (x<80 ? (x<70 ? 0.976548:0.956238) : (0.944883)) : (x<120 ? 0.933682:0.950684))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.992664:0.95836) : (0.993441)) : (x<400 ? 1.07128:1.08393)) : (x<800 ? (x<670 ? 1.00843:1.24242) : (x<1000 ? 1.15375:0)))" 
2, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.18298) : (1.49728)) : (x<50 ? 1.65557:1.79048)) : (x<100 ? (x<80 ? (x<70 ? 1.83667:1.98333) : (1.93538)) : (x<120 ? 2.11647:2.22816))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.51682:2.44916) : (2.79443)) : (x<400 ? 3.32766:3.47851)) : (x<800 ? (x<670 ? 3.53395:13.9315) : (x<1000 ? 7.05175:0)))" 
2, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.8702) : (0.889557)) : (x<50 ? 0.895734:0.896446)) : (x<100 ? (x<80 ? (x<70 ? 0.895897:0.893797) : (0.892194)) : (x<120 ? 0.886022:0.884005))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.881958:0.870216) : (0.859362)) : (x<400 ? 0.861981:0.853672)) : (x<800 ? (x<670 ? 0.814785:0.799407) : (x<1000 ? 0.781433:0)))" 
2, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.942732) : (0.964812)) : (x<50 ? 0.984878:0.958686)) : (x<100 ? (x<80 ? (x<70 ? 0.96525:0.944108) : (0.934997)) : (x<120 ? 0.921681:0.938948))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.975209:0.931234) : (0.952981)) : (x<400 ? 1.01339:1.01166)) : (x<800 ? (x<670 ? 0.92152:0.984958) : (x<1000 ? 0.800203:0)))" 
2, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.16297) : (1.4625)) : (x<50 ? 1.60777:1.72825)) : (x<100 ? (x<80 ? (x<70 ? 1.76394:1.89141) : (1.86183)) : (x<120 ? 2.01347:2.12625))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.35724:2.21696) : (2.44246)) : (x<400 ? 2.7841:2.74528)) : (x<800 ? (x<670 ? 2.64702:-0.141076) : (x<1000 ? -0.147788:0)))" 
2, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.873225) : (0.892224)) : (x<50 ? 0.89831:0.899046)) : (x<100 ? (x<80 ? (x<70 ? 0.898603:0.89668) : (0.894519)) : (x<120 ? 0.888871:0.886799))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.886165:0.877409) : (0.870229)) : (x<400 ? 0.87812:0.878207)) : (x<800 ? (x<670 ? 0.846594:0.863066) : (x<1000 ? 0.86718:0)))" 
2, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.958108) : (0.981642)) : (x<50 ? 1.00386:0.978943)) : (x<100 ? (x<80 ? (x<70 ? 0.987846:0.968368) : (0.954769)) : (x<120 ? 0.945682:0.96242))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.01012:0.985486) : (1.0339)) : (x<400 ? 1.12916:1.1562)) : (x<800 ? (x<670 ? 1.09533:1.49988) : (x<1000 ? 1.5073:0)))" 
2, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.20299) : (1.53207)) : (x<50 ? 1.70336:1.85271)) : (x<100 ? (x<80 ? (x<70 ? 1.90939:2.07525) : (2.00893)) : (x<120 ? 2.21947:2.33007))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.67641:2.68135) : (3.14639)) : (x<400 ? 3.87122:4.21174)) : (x<800 ? (x<670 ? 4.42088:28.0042) : (x<1000 ? 14.2513:0)))" 
